연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
169,5,2560,거여,341718,336150,435556,431982,419171,447066,409085,396223,405174,450547,483877,484586
170,5,2561,마천,273374,267461,338810,342139,336859,348923,317182,302089,311773,349884,373224,370889
171,5,2562,강일,,,28141,170032,169781,179248,161742,158336,167896,191745,208382,208636
172,5,2563,미사,629379,608885,762274,795943,780819,807775,736882,721120,734597,828467,874500,869374
173,5,2564,하남풍산,230794,227290,273343,207376,205326,215664,200337,190193,192774,212336,226384,227100
174,5,2565,하남시청,,,46499,278031,282604,289446,267193,264558,284218,322401,339539,343721
175,5,2566,하남검단산,,,54482,290028,287588,285925,255443,251701,267135,302257,304744,307810
176,6,2611,응암,788212,777999,958299,955110,925569,949543,872605,834448,840000,911902,952852,950185
177,6,2612,역촌,182787,177395,216584,209836,213014,222668,214914,206827,202784,216694,227885,229060
178,6,2613,불광(6),194929,197477,249294,246566,243512,246459,222340,208688,209191,232549,239991,238263
179,6,2614,독바위,132531,131045,160721,158392,155753,159382,147887,141851,143231,154991,156127,152694
180,6,2616,구산,286603,285304,359262,357602,349954,359120,332545,323253,324959,353821,366603,363114
181,6,2617,새절,550332,546366,681071,681812,654167,674887,608611,578869,587741,642813,674171,661589
182,6,2618,증산,454770,447420,548783,544085,529610,540595,497385,477005,480185,523118,548030,546036
183,6,2619,디지털미디어시티(6),623018,603970,756137,749879,707890,753139,674223,634308,630875,690109,761925,746627
184,6,2620,월드컵경기장,209978,219788,275576,292543,283983,277889,248585,245607,275790,345013,272713,225311
185,6,2621,마포구청,593052,586870,723889,715763,698138,725634,674149,641849,630509,689097,740243,743557
186,6,2622,망원,655571,693488,822460,809026,824770,818180,728984,723712,746413,796020,809326,813625
187,6,2623,합정(6),549287,583725,714929,702709,707227,722254,622729,612057,614131,702360,733015,725782
188,6,2624,상수,354099,376389,457159,449208,465899,480977,400001,406542,404356,463704,498119,507739
189,6,2625,광흥창,367675,367684,466391,458462,441701,461834,416578,399310,399883,432726,472541,468441
190,6,2626,대흥,344118,340853,437375,429795,422379,435985,398683,384684,384249,414053,445883,430081
191,6,2627,공덕(6),762824,760378,955439,940896,884770,933428,820901,778634,781950,864478,958677,937738
192,6,2628,효창공원앞,290453,285582,358932,353194,343997,356637,316360,301415,306754,336050,362129,355092
193,6,2629,삼각지(6),224643,230352,296978,298816,295631,312393,271963,263542,266808,304835,324596,315756
194,6,2630,녹사평,204501,221975,275959,279928,289988,287785,236186,238108,252691,287072,279676,274293
195,6,2631,이태원,407854,457063,569853,562918,586606,575485,454465,447975,520408,655947,628215,594509
196,6,2632,한강진,334301,386962,490797,485508,461750,497401,421604,395144,428006,498726,517317,548961
197,6,2633,버티고개,100770,98875,121646,120280,118798,112854,97316,94589,93691,92470,103303,108376
198,6,2634,약수(6),155099,153335,189927,188632,184193,194050,178299,168937,170325,190474,198480,193729
199,6,2635,청구(6),172409,168537,213604,208070,200461,207957,191706,180522,182727,198358,207487,204564
200,6,2636,신당(6),342977,338112,439146,437467,425088,437887,412248,395287,405524,442473,450186,477048
201,6,2637,동묘앞(6),374927,374607,460844,460603,468030,456733,427847,407541,415759,455496,458153,443766
202,6,2638,창신,141371,136695,178988,176879,168584,176234,155825,148387,149667,161393,175412,172487
203,6,2639,보문,308806,303610,375916,371141,368169,373674,340089,322944,330645,359259,382007,380644
204,6,2640,안암,411252,417513,558120,539650,533518,541686,459032,441779,462060,514088,584348,553257
205,6,2641,고려대,329290,331199,418373,413958,405240,412357,362128,345546,355410,388778,425150,409392
206,6,2642,월곡,494479,482023,604332,594327,580735,595263,550846,522865,528245,576006,620699,610990
207,6,2643,상월곡,260135,252357,318887,318273,312479,321784,292804,277846,283862,309149,326146,315837
208,6,2644,돌곶이,369682,369132,477541,471458,466149,478790,432691,413885,417475,457005,505272,484835
209,6,2645,석계(6),556314,545507,677974,670399,657743,671349,606794,581328,591230,647733,689165,673329
210,6,2646,태릉입구(6),244452,246384,309798,306667,329849,310703,279694,271810,273590,303964,319111,310373
211,6,2647,화랑대,428130,426155,538113,538939,525081,547013,484961,462205,471769,528579,574423,555607
212,6,2648,봉화산,385702,375067,464120,457485,442988,462411,428284,403836,405589,442178,470365,462654
213,7,2711,장암,71309,74156,94500,95072,94037,97020,87999,84466,86066,94180,95377,87835
214,7,2712,도봉산(7),442114,441623,552924,563594,558562,561935,508581,480969,499502,564712,574900,540025
215,7,2713,수락산,578626,576887,709558,708247,703213,719286,660207,635642,643357,696829,702902,682719
216,7,2714,마들,549147,536651,657396,654300,638722,661893,613342,592353,595495,647593,683892,678490
217,7,2715,노원(7),901573,902383,1101852,1079169,1073698,1088523,1020585,969848,963896,1041639,1094320,1104793
218,7,2716,중계,590375,581576,733925,736753,710071,740856,661210,627937,644187,706311,744525,730134
219,7,2717,하계,752895,740221,927311,918034,895338,923542,830901,794688,808942,887657,941205,924913
220,7,2718,공릉,515278,512909,652586,642613,635980,646103,568578,543262,563312,620307,662621,651186
221,7,2719,태릉입구(7),349146,350595,438916,443922,475782,448062,403884,388442,395252,439404,462065,448763
222,7,2720,먹골,457639,445555,545655,536566,535843,542874,505405,482955,481833,529593,552346,548885
223,7,2721,중화,497296,482319,595598,591414,578881,587665,544998,520091,519769,563034,591332,584226
224,7,2722,상봉(7),756615,743703,909850,899162,886629,904142,823051,784315,787747,865401,913089,906075
225,7,2723,면목,694653,670337,841188,844977,810566,834020,761731,732917,735652,811226,863264,859921
226,7,2724,사가정,751444,736420,902911,893057,876983,898858,819230,785602,787965,860561,892471,876394
227,7,2725,용마산,270210,268593,331935,332071,325949,332211,302157,290601,296263,321240,336256,326452
228,7,2726,중곡,436511,426649,523143,514156,500169,513654,478684,460984,472654,518538,553793,573763
229,7,2727,군자(7),599097,584533,721544,714587,703364,719290,663622,632771,630402,690554,731991,732724
230,7,2728,어린이대공원,528324,510424,688570,711185,699069,677591,581762,557979,586364,651743,709263,659724
231,7,2729,건대입구(7),572076,552595,689495,668134,678648,670593,608228,592189,595764,663381,709073,715124
232,7,2730,뚝섬유원지,319070,364456,475624,564901,563790,522712,406962,407141,500775,501462,439719,392710
233,7,2731,청담,887939,860565,1079596,1059179,1002943,1057530,942278,881831,866043,965367,1080257,1063528
234,7,2732,강남구청,733831,711505,895878,887918,839307,889341,804480,763800,750025,833817,912058,905400
235,7,2733,학동,1063493,1004455,1261526,1244819,1152427,1252060,1138641,1051996,1013451,1120749,1281840,1279038
236,7,2734,논현,916355,890112,1103554,1092275,1034398,1096141,1002781,941750,916773,1003692,1100911,1094542
237,7,2735,반포,250367,247984,310695,307766,300740,309553,281317,268504,270619,295887,313385,309010
238,7,2736,고속터미널(7),640906,661822,789494,781905,791773,808027,699239,686533,715879,787635,846075,800365
239,7,2737,내방,647165,618400,758300,740413,716782,753617,696824,663348,653735,703099,767330,763279
240,7,2738,이수(7),686447,682205,843585,822238,810913,839157,762942,726346,725614,810435,853573,846174
241,7,2739,남성,492671,470680,581174,580774,569495,575659,527585,503906,501734,540377,574055,577561
242,7,2740,숭실대입구,523665,506090,670364,667772,631046,659348,561070,540632,566308,655287,715400,669870
243,7,2741,상도,453311,437292,552023,551488,548163,559657,504801,482575,486371,528304,569596,555536
244,7,2742,장승배기,435821,420950,517286,513902,497622,510597,470970,448738,448708,479724,503264,502522
245,7,2743,신대방삼거리,734881,700477,857843,853758,824108,856248,792292,758232,753796,812323,873554,870074
246,7,2744,보라매,424712,413450,521848,520513,501930,520659,466985,447459,451440,494941,535882,522992
247,7,2745,신풍,529152,514101,633926,631762,618031,639259,585151,553186,554616,608847,639006,624012
248,7,2746,대림(7),370471,374706,443100,439999,455690,463907,420519,411385,419209,449969,463294,453279
249,7,2747,남구로,748678,708940,861628,860166,822193,874214,806337,754970,744573,789923,854958,852479
250,7,2748,가산디지털단지(7),2004676,1884761,2331842,2317440,2125983,2339022,2130156,1951673,1904846,2047976,2319523,2277959
251,7,2749,철산,963627,943653,1164078,1162400,1138408,1169283,1056790,1002845,1015093,1088296,1169960,1161004
252,7,2750,광명사거리,1030271,1001293,1218911,1199266,1179807,1207562,1115520,1069871,1081836,1172790,1229282,1219920
253,7,2751,천왕,477758,467431,591324,592959,569089,598341,539212,506831,518072,562109,601598,596499
254,7,2752,온수(7),442433,423821,557145,550763,517673,546652,482326,450498,459352,510753,552724,534549
255,7,2753,까치울,322880,318189,407922,415005,403987,420453,379797,364571,369520,411752,425138,408031
256,7,2754,부천종합운동장,190761,188614,251894,243051,233858,243177,232692,215601,224415,237185,251150,257962
257,7,2755,춘의,433760,401318,493658,492048,466923,498833,475063,443516,440648,478611,518580,521729
258,7,2756,신중동,629244,618510,765559,757359,737630,770715,707350,660392,659916,727982,776415,774269
259,7,2757,부천시청,556327,547518,674505,665828,661327,690096,643562,610930,610546,671616,700828,712055
260,7,2758,상동,563666,565680,696954,685499,683729,721118,667461,628204,628718,712626,752477,747733
261,7,2759,삼산체육관,198413,200493,256533,264855,258176,280388,250707,239001,243906,269250,286066,283142
262,7,2760,굴포천,403294,394795,483435,478775,475234,505624,467858,443849,440105,486436,517441,518296
263,7,2761,부평구청(7),470958,459710,575007,574040,502805,402728,363722,342373,342946,373313,396801,390195
264,8,2811,암사,812075,784499,966433,953640,923761,956213,877680,842998,829157,907162,961768,961230
265,8,2812,천호(8),762756,745581,899016,869861,859831,868287,796545,759344,754520,843655,886362,901883
266,8,2813,강동구청,488591,464843,567163,550298,531701,558837,509387,484327,477740,519529,566791,570412
267,8,2814,몽촌토성,263643,253146,317426,324915,316453,323968,294732,283334,289184,338353,361980,341560
268,8,2815,잠실(8),691725,694707,830641,799094,810796,820071,737405,710375,704340,815323,866976,918311
269,8,2816,석촌(8),378116,369430,454843,444207,438814,445209,411642,397006,391263,435073,456036,464685
270,8,2817,송파,356622,341260,425496,412759,395966,407088,366627,349722,352301,387716,411265,410094
271,8,2818,가락시장(8),386721,374114,450412,437634,421294,427600,390081,371751,363972,394209,442817,435479
272,8,2819,문정,975584,914143,1139570,1121127,1027649,1118536,1022714,953467,924313,1014423,1144525,1133518
273,8,2820,장지,796131,745010,925375,897947,871735,898982,827816,779405,772773,863943,922383,927988
274,8,2821,복정(8),434265,421392,568404,562729,530043,553381,487714,459732,469644,535783,583449,529352
